                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4406,                 1.1449,                 1.0848,                  1.897,                  1.534,                  1.061,                0.42419,                0.36049,                0.35536,                0.20871,                 1.3778,                 1.0716,                 1.0624,                 1.7692,                 1.4446,                 1.0502,               0.007921,               0.007921,               0.007921
                     45,                 1.4198,                 1.1223,                 1.0825,                 1.8735,                  1.511,                 1.0618,                0.44088,                0.36334,                0.36194,                0.21343,                 1.3676,                 1.0609,                 1.0591,                 1.7596,                 1.4355,                 1.0462,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4268,                 1.1304,                 1.0794,                  1.882,                  1.524,                 1.0567,                0.44715,                0.35555,                0.35808,                0.21178,                 1.3679,                 1.0643,                 1.0587,                 1.7565,                 1.4406,                  1.047,               0.007822,               0.007822,               0.007822
                     47,                 1.4442,                 1.1265,                 1.0737,                 1.9119,                 1.5202,                 1.0517,                 0.4536,                0.35733,                 0.3596,                0.21256,                 1.3607,                  1.059,                 1.0553,                 1.7576,                 1.4323,                 1.0458,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4208,                 1.1217,                 1.0739,                 1.8853,                 1.5101,                  1.052,                0.44666,                0.36148,                0.36317,                0.21584,                 1.3629,                 1.0556,                 1.0562,                 1.7587,                  1.421,                 1.0463,               0.007723,               0.007723,               0.007723
                     49,                 1.4239,                 1.1228,                 1.0751,                 1.8784,                 1.5097,                 1.0539,                 0.4483,                 0.3647,                0.36279,                0.21408,                 1.3681,                 1.0563,                 1.0586,                 1.7583,                 1.4226,                 1.0457,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4205,                 1.1075,                 1.0701,                 1.8877,                 1.4966,                 1.0494,                0.44555,                 0.3658,                0.36411,                0.21636,                 1.3566,                 1.0528,                 1.0547,                 1.7504,                 1.4166,                 1.0437,               0.007624,               0.007624,               0.007624
                     51,                 1.4199,                 1.1026,                 1.0721,                 1.8754,                 1.4848,                 1.0511,                0.46049,                0.36548,                 0.3682,                0.21737,                 1.3573,                 1.0502,                 1.0539,                 1.7493,                 1.4145,                  1.043,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4152,                 1.1073,                 1.0719,                  1.872,                 1.4933,                 1.0523,                0.47091,                0.35983,                0.36675,                0.21778,                 1.3562,                 1.0472,                 1.0524,                 1.7511,                 1.4161,                  1.043,               0.007525,               0.007525,               0.007525
                     53,                  1.421,                  1.098,                 1.0674,                 1.8863,                 1.4824,                 1.0467,                0.45093,                0.36787,                0.36846,                 0.2185,                 1.3523,                 1.0441,                 1.0515,                 1.7472,                  1.411,                 1.0413,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4049,                 1.1023,                  1.068,                 1.8619,                 1.4836,                 1.0504,                0.44302,                0.36866,                0.36511,                0.21769,                 1.3535,                 1.0392,                 1.0509,                 1.7462,                 1.3997,                 1.0421,               0.007426,               0.007426,               0.007426
                     55,                 1.4042,                 1.0929,                 1.0695,                 1.8551,                 1.4674,                 1.0489,                0.45999,                0.36805,                0.36944,                0.21987,                 1.3489,                 1.0411,                 1.0492,                 1.7408,                 1.4061,                  1.041,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4021,                 1.0925,                 1.0653,                 1.8585,                 1.4781,                 1.0463,                0.45867,                0.37462,                0.37468,                0.22185,                 1.3477,                 1.0352,                 1.0487,                 1.7384,                 1.4007,                 1.0396,               0.007327,               0.007327,               0.007327
                     57,                 1.4102,                 1.1008,                 1.0719,                 1.8623,                 1.4822,                 1.0513,                0.46425,                0.36655,                0.37297,                0.22104,                 1.3459,                 1.0362,                 1.0487,                 1.7375,                  1.396,                 1.0396,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4046,                 1.0899,                  1.068,                 1.8619,                 1.4726,                 1.0499,                0.45652,                0.37022,                0.37284,                0.22066,                  1.345,                 1.0319,                 1.0488,                 1.7344,                  1.399,                 1.0386,               0.007228,               0.007228,               0.007228
                     59,                 1.4019,                 1.0899,                 1.0605,                 1.8655,                 1.4732,                 1.0427,                0.46014,                0.37391,                0.37709,                0.22413,                 1.3411,                 1.0298,                 1.0458,                 1.7326,                 1.3941,                 1.0374,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3861,                 1.0764,                 1.0658,                 1.8363,                 1.4531,                 1.0476,                0.45452,                0.37557,                0.37484,                 0.2231,                 1.3436,                 1.0272,                 1.0461,                 1.7339,                 1.3907,                 1.0366,               0.007129,               0.007129,               0.007129
                     61,                 1.4077,                 1.0913,                 1.0662,                 1.8634,                 1.4705,                 1.0469,                0.46724,                0.36596,                 0.3768,                0.22367,                 1.3391,                 1.0246,                  1.045,                 1.7313,                 1.3871,                 1.0365,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.3945,                 1.0828,                 1.0674,                 1.8427,                 1.4582,                 1.0483,                0.46919,                0.37137,                0.37758,                0.22465,                 1.3386,                 1.0247,                 1.0444,                 1.7289,                 1.3838,                 1.0359,                0.00703,                0.00703,                0.00703
                     63,                 1.3882,                 1.0776,                 1.0618,                 1.8464,                 1.4557,                 1.0426,                0.46097,                0.37824,                0.37821,                0.22508,                 1.3358,                 1.0225,                 1.0434,                 1.7277,                 1.3832,                  1.035,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.3965,                 1.0768,                  1.067,                   1.86,                 1.4556,                  1.048,                 0.4686,                0.37161,                0.37886,                0.22663,                 1.3351,                 1.0205,                 1.0424,                 1.7232,                 1.3791,                 1.0337,               0.006931,               0.006931,               0.006931
                     65,                 1.3921,                 1.0637,                 1.0595,                 1.8447,                 1.4376,                 1.0414,                0.46468,                0.37927,                0.38014,                0.22693,                 1.3324,                 1.0165,                 1.0412,                 1.7256,                 1.3752,                 1.0341,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4032,                 1.0743,                 1.0601,                 1.8531,                 1.4482,                 1.0415,                0.47282,                0.37297,                0.38068,                0.22745,                 1.3315,                 1.0158,                 1.0414,                 1.7227,                 1.3737,                 1.0341,               0.006832,               0.006832,               0.006832
                     67,                 1.3904,                 1.0648,                  1.057,                 1.8445,                 1.4393,                 1.0389,                0.47112,                0.38069,                0.38579,                0.22995,                 1.3327,                 1.0117,                 1.0419,                 1.7253,                 1.3694,                 1.0337,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3905,                 1.0663,                 1.0621,                 1.8428,                 1.4409,                 1.0432,                 0.4747,                0.38354,                 0.3845,                 0.2299,                 1.3301,                 1.0117,                 1.0409,                 1.7223,                  1.369,                 1.0335,               0.006733,               0.006733,               0.006733
                     69,                 1.3843,                 1.0583,                 1.0514,                 1.8458,                 1.4375,                 1.0341,                0.47495,                0.38143,                0.38793,                0.23146,                   1.33,                 1.0104,                 1.0395,                 1.7208,                 1.3694,                  1.033,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3825,                 1.0536,                   1.06,                 1.8354,                 1.4198,                 1.0415,                0.47203,                0.38403,                0.38777,                0.23209,                 1.3305,                 1.0091,                 1.0397,                 1.7215,                 1.3667,                 1.0327,               0.006634,               0.006634,               0.006634
                     71,                 1.3905,                  1.064,                 1.0587,                 1.8474,                 1.4363,                 1.0395,                0.49431,                0.37358,                0.38866,                0.23207,                 1.3278,                 1.0064,                 1.0384,                 1.7182,                 1.3665,                 1.0317,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3843,                 1.0478,                 1.0555,                 1.8424,                 1.4215,                 1.0382,                0.47229,                0.38513,                0.39085,                0.23409,                 1.3269,                 1.0062,                 1.0389,                 1.7158,                  1.363,                 1.0319,               0.006535,               0.006535,               0.006535
                     73,                  1.385,                 1.0513,                 1.0555,                 1.8446,                 1.4177,                 1.0385,                0.46608,                0.38648,                0.38891,                0.23324,                 1.3243,                 1.0064,                  1.038,                 1.7139,                 1.3611,                 1.0316,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3863,                 1.0535,                 1.0532,                 1.8396,                 1.4206,                 1.0352,                0.47756,                0.38208,                0.39118,                0.23444,                 1.3223,                 1.0023,                  1.037,                 1.7118,                 1.3568,                 1.0306,               0.006436,               0.006436,               0.006436
                     75,                 1.3793,                 1.0463,                 1.0557,                 1.8314,                  1.414,                 1.0396,                0.48285,                0.38631,                0.39249,                0.23453,                 1.3223,                 1.0001,                 1.0363,                 1.7138,                 1.3538,                 1.0313,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3816,                 1.0436,                 1.0562,                 1.8373,                 1.4106,                 1.0379,                0.47179,                0.38904,                0.39212,                0.23527,                 1.3196,                0.99987,                  1.036,                 1.7112,                 1.3559,                   1.03,               0.006337,               0.006337,               0.006337
                     77,                 1.3698,                 1.0416,                 1.0509,                 1.8202,                 1.4101,                 1.0362,                0.48236,                0.38655,                0.39254,                0.23547,                 1.3208,                0.99894,                 1.0357,                  1.709,                 1.3553,                 1.0293,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3768,                 1.0489,                 1.0542,                 1.8341,                 1.4207,                 1.0362,                 0.4885,                0.38244,                0.39283,                0.23572,                 1.3205,                0.99916,                 1.0354,                 1.7095,                 1.3543,                 1.0294,               0.006238,               0.006238,               0.006238
                     79,                  1.378,                 1.0419,                 1.0548,                 1.8354,                 1.4089,                 1.0362,                0.48518,                0.38997,                0.39398,                0.23598,                 1.3209,                0.99686,                 1.0361,                  1.709,                 1.3521,                  1.029,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3742,                  1.037,                 1.0539,                 1.8257,                 1.4046,                 1.0366,                 0.4873,                0.38269,                0.39421,                0.23643,                 1.3196,                0.99639,                 1.0353,                 1.7082,                 1.3511,                 1.0286,               0.006139,               0.006139,               0.006139
                     81,                  1.363,                 1.0245,                 1.0489,                 1.8108,                 1.3926,                 1.0329,                0.49244,                0.38495,                 0.3973,                0.23873,                 1.3185,                  0.993,                  1.035,                 1.7075,                 1.3448,                 1.0286,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3739,                 1.0393,                 1.0483,                 1.8329,                 1.4067,                 1.0327,                 0.4852,                0.38975,                0.39597,                0.23766,                  1.317,                0.99246,                 1.0345,                 1.7066,                 1.3436,                  1.029,                0.00604,                0.00604,                0.00604
