                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.4212,                 3.3175,                0.98433,                0.52499,                0.41464,                0.43305,                0.25762,                 1.3768,                 3.6021,                0.98973,             0.00037063,             0.00037063,             0.00037063
                    129,                 1.4146,                 3.3146,                0.98366,                0.52722,                 0.4121,                0.43366,                0.25794,                 1.3762,                 3.5987,                0.98957,             0.00036564,             0.00036564,             0.00036564
                    130,                 1.4183,                 3.3199,                0.98476,                0.52942,                0.41142,                0.43398,                0.25779,                 1.3757,                 3.5975,                0.98953,             0.00036064,             0.00036064,             0.00036064
                    131,                 1.4162,                 3.2971,                0.98602,                0.53127,                0.41229,                0.43479,                0.25821,                 1.3752,                 3.5954,                0.98933,             0.00035564,             0.00035564,             0.00035564
                    132,                  1.421,                 3.3071,                0.98471,                0.52855,                0.41367,                0.43468,                0.25812,                 1.3751,                 3.5945,                 0.9893,             0.00035065,             0.00035065,             0.00035065
                    133,                 1.4156,                 3.3012,                0.98321,                0.52765,                0.41453,                0.43506,                0.25831,                 1.3745,                 3.5923,                0.98904,             0.00034565,             0.00034565,             0.00034565
                    134,                 1.4203,                 3.3139,                0.98502,                0.52665,                0.41598,                0.43528,                0.25862,                  1.374,                  3.591,                 0.9889,             0.00034066,             0.00034066,             0.00034066
                    135,                 1.4136,                 3.2932,                0.98543,                0.52734,                0.41629,                0.43588,                0.25915,                 1.3737,                 3.5889,                0.98879,             0.00033567,             0.00033567,             0.00033567
                    136,                  1.412,                 3.2641,                0.98389,                0.53063,                0.41538,                0.43659,                0.25931,                 1.3733,                 3.5871,                0.98868,             0.00033067,             0.00033067,             0.00033067
                    137,                 1.4173,                 3.2738,                0.98359,                0.52755,                0.41729,                0.43676,                0.25968,                 1.3731,                 3.5856,                0.98873,             0.00032567,             0.00032567,             0.00032567
                    138,                 1.4137,                 3.2529,                 0.9831,                0.52706,                0.41675,                0.43706,                   0.26,                 1.3729,                 3.5835,                0.98865,             0.00032068,             0.00032068,             0.00032068
                    139,                 1.4065,                 3.2622,                0.98211,                0.52361,                 0.4189,                0.43731,                0.26027,                 1.3727,                 3.5825,                0.98859,             0.00031568,             0.00031568,             0.00031568
                    140,                  1.407,                 3.2698,                0.98322,                0.52667,                0.41791,                0.43716,                0.26015,                 1.3725,                 3.5815,                0.98853,             0.00031069,             0.00031069,             0.00031069
                    141,                 1.4117,                 3.2597,                0.98155,                0.52808,                0.41713,                0.43727,                0.25991,                 1.3723,                 3.5799,                0.98851,              0.0003057,              0.0003057,              0.0003057
                    142,                 1.4042,                 3.2326,                0.98025,                0.53323,                0.41487,                0.43762,                0.25994,                 1.3722,                 3.5787,                0.98844,              0.0003007,              0.0003007,              0.0003007
                    143,                  1.411,                 3.2505,                0.98104,                0.53244,                0.41499,                 0.4378,                0.26008,                 1.3721,                 3.5777,                0.98839,             0.00029571,             0.00029571,             0.00029571
